Timestamp,SensorData
130978062,9065,1.38,0.52,9.24

130978078,5
130978078,9078,1.41,0.51,9.38

130978093,5
130978093,9091,1.39,0.49,9.28

130978109,5
130978109,9104,1.39,0.50,9.36

130978125,5
130978125,9117,1.37,0.51,9.39

130978140,5
130978140,9130,1.36,0.49,9.40

130978140,5
130978140,9143,1.36,0.48,9.41

130978156,5
130978156,9156,1.40,0.48,9.32

130978171,5
130978171,9169,1.40,0.49,9.36

130978187,5
130978187,9182,1.38,0.47,9.35

130978203,5
130978203,9195,1.42,0.51,9.31

130978218,5
130978218,9208,0.65,-2.00,16.06

130978218,5
130978218,9221,1.87,1.58,11.08

130978234,5
130978234,9234,1.46,0.78,10.11

130978250,5
130978250,9247,1.34,0.76,9.62

130978265,5
130978265,9260,1.40,0.72,9.39

130978281,5
130978281,9273,1.36,0.67,9.51

130978296,5
130978296,9286,1.37,0.70,9.63

130978296,5
130978296,9299,1.42,0.74,9.76

130978312,5
130978312,9312,1.50,0.74,10.36

130978328,5
130978328,9325,0.82,0.46,10.22

130978343,5
130978343,9338,1.34,0.19,7.33

130978359,5
130978359,9351,1.54,0.47,8.86

130978375,5
130978375,9364,1.42,0.51,9.15

130978375,5
130978375,9377,1.40,0.52,9.38

130978390,5
130978390,9390,1.38,0.52,9.29

130978406,5
130978406,9403,1.39,0.49,9.34

130978421,5
130978421,9416,1.36,0.51,9.38

130978437,5
130978437,9429,1.35,0.50,9.39

130978453,5
130978453,9442,1.34,0.48,9.40

130978453,5
130978453,9455,1.38,0.50,9.37

130978468,5
130978468,9468,1.36,0.47,9.33

130978484,5
130978484,9481,0.05,-2.27,11.87

130978500,5
130978500,9494,1.51,1.30,11.37

130978515,5
130978515,9507,1.36,0.73,10.09

130978531,5
130978531,9520,1.35,0.74,9.48

130978531,5
130978531,9533,1.40,0.73,9.35

130978546,5
130978546,9546,1.34,0.65,9.43

130978562,5
130978562,9559,1.32,0.66,9.59

130978578,5
130978578,9572,1.36,0.74,9.73

130978593,5
130978593,9585,1.44,0.84,10.00

130978609,5
130978609,9598,1.43,0.49,10.53

130978609,5
130978609,9611,0.90,-0.02,8.35

130978625,5
130978625,9624,1.48,0.69,7.97

130978640,5
130978640,9637,1.49,0.59,9.33

130978656,5
130978656,9650,1.39,0.50,9.29

130978671,5
130978671,9663,1.43,0.51,9.24

130978687,5
130978687,9676,1.37,0.54,9.29

130978687,5
130978687,9689,1.39,0.47,9.34

130978703,5
130978703,9702,1.35,0.53,9.33

130978718,5
130978718,9715,1.36,0.49,9.42

130978734,5
130978734,9728,1.36,0.47,9.40

130978750,5
130978750,9741,1.36,0.50,9.40

130978750,5
130978765,9754,1.39,0.01,-5.40

130978765,5
130978765,9767,1.92,1.44,11.57

130978781,5
130978781,9780,1.40,0.81,10.05

130978796,5
130978796,9793,1.37,0.87,9.81

130978812,5
130978812,9806,1.33,0.66,9.49

130978828,5
130978828,9819,1.33,0.67,9.39

130978828,5
130978843,9832,1.35,0.69,9.46

130978843,5
130978843,9845,1.28,0.69,9.60

130978859,5
130978859,9858,1.33,0.73,9.87

130978875,5
130978875,9871,1.38,0.71,10.27

130978890,5
130978890,9884,1.17,0.37,10.12

130978906,5
130978906,9897,1.15,0.22,7.41

130978906,5
130978906,9910,1.49,0.47,9.08

130978921,5
130978921,9923,1.39,0.50,9.17

130978937,5
130978937,9936,1.41,0.52,9.28

130978953,5
130978953,9949,1.43,0.51,9.23

130978968,5
130978968,9962,1.39,0.50,9.30

130978984,5
130978984,9975,1.38,0.47,9.33

130978984,5
130978984,9988,1.36,0.47,9.36

130979000,6
130979000,0001,1.35,0.47,9.40

130979015,6
130979015,0014,1.36,0.48,9.40

130979031,6
130979031,0027,1.36,0.46,9.37

130979046,6
130979046,0040,1.42,0.51,9.35

130979062,6
130979062,0053,0.72,-2.36,15.94

130979078,6
130979078,0066,1.71,1.42,11.26

130979078,6
130979078,0079,1.43,0.72,10.13

130979093,6
130979093,0092,1.29,0.72,9.48

130979109,6
130979109,0105,1.39,0.71,9.36

130979125,6
130979125,0118,1.32,0.65,9.46

130979140,6
130979140,0131,1.31,0.70,9.65

130979140,6
130979156,0144,1.34,0.72,9.78

130979156,6
130979156,0157,1.36,0.74,10.12

130979171,6
130979171,0170,1.24,0.31,10.34

130979187,6
130979187,0183,1.36,0.73,8.13

130979203,6
130979203,0196,1.37,0.41,8.16

130979218,6
130979218,0209,1.44,0.54,9.25

130979218,6
130979218,0222,1.39,0.52,9.30

130979234,6
130979234,0235,1.40,0.51,9.22

130979250,6
130979250,0248,1.39,0.51,9.30

130979265,6
130979265,0261,1.38,0.51,9.33

130979281,6
130979281,0274,1.37,0.49,9.35

130979296,6
130979296,0287,1.34,0.48,9.40

130979296,6
130979296,0300,1.35,0.49,9.39

130979312,6
130979312,0313,2.03,1.28,6.90

130979328,6
